PRDCT_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY,DAY_INTK_LOWLIMIT,DAY_INTK_HIGHLIMIT,INTK_UNIT,INTK_MEMO,SKLL_IX_IRDNT_RAWMTRL,CRET_DTM,LAST_UPDT_DTM
발효율피추출분말(제2021-4호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것.","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to improve body fat",1,1,g/일,발효율피추출분말(제2021-4호),Ellagic acid,20210802,20260723
로즈마리추출물등복합물(SunMax)(제2021-18호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (4) 흡연자는 섭취 시 전문가와 상담할 것 (5) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음",(국문) 자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음 (영문) May help to maintain skin health from skin damage by UV,225,225,mg,제2021-18호,로즈마리추출물등복합물,20220121,20220121
사삼추출물(제2022-7호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 식사조절, 운동을 병행하는 것이 체지방 감소에 효과적임","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",750,750,mg/일,기능성 원료 인정(제2022-7호),"리놀레산(Linoleic acid), 베타시토스테롤(β-Sitosterol)",20221125,20221125
열처리녹차추출물(제2022-34호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 간 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(3) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음
(4) 식사 후 섭취할 것
(5) 카페인을 함유한 식품의 섭취에 주의할 것
(6) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(7)이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 기억력 개선에 도움을 줄 수 있음
(영문) May help to improve memory",900,900,mg/일,제2022-34호,"에피갈로카테킨갈레이트(Epigallocatechin gallate, EGCG), 갈로카테킨갈레이트(Gallocatechin gallate, GCG)",20230110,20230110
아쉬아간다 추출물(ShodenⓇ)(제2022-27호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 졸음을 유발하는 약물(신경 안정제 등)과 병용섭취하지 말 것","(국문) 수면건강에 도움을 줄 수 있음
(영문) May help to improve sleep quality",120,120,mg/일,제2022-27호,Withanoside IV (위타노사이드 IV),20230116,20230116
흰목이버섯효소분해추출물(Neu learn)(제2022-30호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 노화로 인해 감소된 인지기능 개선에 도움을 줄 수 있음
(영문) May help to improve cognitive function affected by  aging",600,1200,mg/일,제2022-30호,"유리딘(Uridine), 만노스(Mannose)",20230428,20230428
녹차추출물,"(가) 어린이, 임산부 및 수유부는 섭취를 피할 것
(나) 간질환이 있거나 의약품 복용 시 전문가와 상담할 것
(다) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음
(라) 식사 후 섭취할 것
(마) 카페인을 함유한 식품의 섭취에 주의할 것
(바) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 기능성 내용 : 항산화･체지방 감소･혈중 콜레스테롤 개선에 도움을 줄 수 있음,0.3,1,g,"(24.12.20.) 섭취시주의사항, 주된기능성 현행화 / '24 신뢰성 확보",카테킨,20080626,20241220
바나바잎 추출물,"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 식후 혈당상승 억제에 도움을 줄 수 있음,0.45,1.3,mg,,코로솔산(Corosolic acid),20130102,20260723
나토균배양분말(제2013-6호),"(1) 대두에 알레르기를 나타내는 사람은 섭취에 주의할 것
(2) 어린이, 임산부 및 수유부는 섭취를 피할 것
(3) 수술전후, 의약품(항응고제) 복용 시 전문가와 상담할 것
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 혈행 개선에 도움을 줄 수 있음
(영문) May help to improve blood circulation",44,67,mg/일,,지표성분 : 피브린용해효소활성,20191226,20250221
지초추출물(제2010-59호),,피부보습에 도움을 줄 수 있음(기타기능Ⅱ),2200,2200,mg,,리소스펌산(Lithospermic acid),20191226,20201029
히드록시프로필메틸셀룰로오스(제2014-12호),"-과량 복용 시 약한 완하 작용 및 변비 주의
-반드시 충분한 물과 함께 섭취할 것 (액상 제외)",식후 혈당상승 억제에 도움을 줄 수 있음 (생리활성기능 2등급),4,8,g,,히드록시프로필메틸셀룰로오스,20191226,20201029
가시오갈피 등 복합추출물(제2011-28호),,관절 건강에 도움을 줄 수 있음(기타기능Ⅱ),1.5,1.5,g,,"엘레우테로사이드 E(Eleutheroside E), 리구스틸라이드(Ligustilide), 바이칼린(Baicalin)",20191226,20201029
상엽추출물(제2014-14호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 식후혈당 상승 억제에 도움을 줄 수 있음
(영문) May help to improve blood glucose levels",10,10,g/일,,1-deoxynojirimycin,20191226,20250609
창녕양파추출액(제2016-11호),,혈중 콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급),150,150,ml,,케르세틴(Quercetin),20191226,20201029
지방산복합물 FAC(Fatty Acid Complex)(제2012-16호),-임산부 및 수유부는 섭취 시 주의,"(국문) 관절 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint",1248,1248,mg/일,,미리스트올레산(Myristoleic acid),20191226,20210205
보리 베타글루칸 추출물(Barley β-glucan Extract)(제2009-73호),,"(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있음
(영문) May help to improve blood cholesterol level",3,8,g,,베타글루칸,20191226,20201029
정제오징어유(제2009-76호),,혈행 개선에 도움을 줄 수 있음(기타기능II) ·혈중 중성지질 개선에 도움을 줄 수 있음 (기타기능II),0.5,2,g,,정제오징어유(기능성원료인정제2009-76호),20191226,20191226
자일로올리고당(xylooligosaccharide) 분말(제2009-80호),"(1) 어린이는 섭취를 피할 것
(2) 과량으로 섭취 시 설사를 유발할 수도 있음
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음
(영문) May help to increase beneficial intestinal flora and suppress pathogenic bacteria, May help to improve bowel movements",0.7,7.5,g,,자일로올리고당,20191226,20260608
자일로올리고당(xylooligosaccharide)(제2009-81호),과량으로 섭취 시 설사를 유발할 수도 있습니다.,"장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음(기타기능II)",0.7,7.5,g,,자일로올리고당(기능성원료인정제2009-81호),20191226,20220120
파크랜 크랜베리 분말(PACran Whole Cranberry Powder)(제2009-84호),"-와파린, 쿠마딘 등 항응고제, 오메프라졸 등의 위산분비 억제제와 함께 섭취하지 마십시오
-제안된 섭취량 이상 과잉 복용할 경우 설사가 있을 수 있으므로, 정해진 섭취량을 준수하여 주십시오",요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(기타기능II),500,1000,mg,,프로안토시아니딘(Proanthocyanidin;PAC),20191226,20210630
해태올리고펩티드(NORI-PEPTIDE)(제2009-87호),해조식 섭취에 주의해야 하는 분은 섭취를 삼가시기 바랍니다,혈압조절에 도움을 줄 수 있음(기타기능II),1.6,1.6,g,,Alanine-Lysine-Tyrosine-Serine-Tyrosine,20191226,20201029
Green Mate Extract EFLA 920(제2010-7호),"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것 (2) 질환이 있거나 의약품 복용시 전문가와 상담할 것 (3) 카페인을 함유한 식품의 섭취에 주의할 것 (4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",체지방 감소에 도움을 줄 수 있습니다(기타기능II),3,3,g,,Chlorogenic acid,20191226,20211119
아티초크 추출물(제2010-8호),"-담관에 이상이 있는 분은 의사와 상의하신 후 섭취하시기 바랍니다
-알레르기 반응이 나타나는 경우에는 섭취를 중단하시기 바랍니다",담즙분비를 촉진하여 지방 소화에 도움을 줄 수 있음(생리활성기능 2등급),1.92,1.92,g,,Chlorogenic acid,20191226,20201029
파크랜 크랜베리 분말(제2014-34호),일일섭취량 준수하여 섭취,요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(생리활성기능 2등급),500,1000,mg,파크랜크랜베리추출분말(기능성원료인정제2014-34호),총 안토시아노사이드(Total Anthocyanosides),20191226,20200206
파크랜 크랜베리 분말(제2014-35호),일일섭취량 준수하여 섭취,요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(생리활성기능 2등급),500,1000,mg,,총 안토시아노사이드(Total Anthocyanosides),20191226,20201029
닭가슴연골분말(UC-II)(제2014-39호),"- 임산부, 수유부는 섭취 시 의사와 상담
- 복용중인 의약품이 있는 분은 섭취 시 의사와 상담",관절건강에 도움을 줄 수 있음(생리활성기능 2등급),40,40,mg/일,,콘드로이친 황산(chondroitin sulfate),20191226,20210630
오미자추출물(제2018-9호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 수술 전․후 섭취에 주의 (3)식사조절, 운동을 병행하는 것이 바람직함",(국문) 근력 개선에 도움을 줄 수 있음 (영문) Help to improve muscle strength,1582,1582,mg,,쉬잔드린(Schizandrin),20191226,20211117
우슬 등 복합물(HL-Joint100)(제2018-13호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-에스트로겐 호르몬에 민감한 사람은 섭취에 주의","(국문) 관절 및 연골건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint and cartilage",1000,1000,mg/일,우슬 등 복합물(HL-Joint100),"Ellagic acid(석류농축분말), Pinoresinol diglucoside(두충추출분말), Ecdysterone(우슬추출분말)",20191226,20201029
시서스추출물(제2018-14호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-의약품(혈당강하제) 복용 시 섭취에 주의","(국문) 체지방 감소에 도움을 줄 수 있음(생리활성기능)
(영문) May help to reduce body fat",300,300,mg/일,,"Quercetin, isorhamnetin",20191226,20201029
저분자콜라겐펩타이드NS(제2019-20호),"-영·유아, 어린이, 임산부와 수유부는 섭취에 주의
-특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문)
-자외선에 의한 피부손상으로부터 피부건강을 유지하는데  도움을 줄 수 있음
-피부보습에 도움을 줄 수 있음
(영문)
May help to maintain skin health from skin damage by UV radiation
May help to maintain skin moisturizing",1.65,1.65,g/일,,Gly-Pro dipeptide,20191226,20210630
풋사과추출물 애플페논(Applephenon)(제2019-21호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",600,600,mg,,총 폴리페놀,20191226,20201029
로즈마리자몽추출복합물(Nutroxsun)(제2019-25호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
-의약품(혈압강하제, 부정맥치료제, 고지혈증치료제, 항응고제 등)을 복용하시는 분은 섭취 전 의사와 상담","(국문) 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
(영문) May help to maintain skin health from skin damage by UV radiation",100,250,mg/일,[20.2.27]일일섭취량 변경,"Carnosic acid와 carnosol의 합(로즈마리추출물), Naringin(자몽추출물)",20191226,20210630
석류농축분말(제2018-8호),"-영·유아, 어린이, 임산부와 수유부는 섭취에 주의
-에스트로겐 호르몬에 민감한 사람은 섭취에 주의","(국문)
1. 피부 보습에 도움을 줄 수 있음 
2. 자외선에 의한 피부 손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음 
(영문)
1. Help to maintain skin moisturizing
2. Help to maintain skin health from skin damage by UV radiation",1,1,g/일,,엘라그산(Ellagic acid),20191226,20201029
깻잎추출물(PF501)(제2019-3호),"영·유아, 어린이, 임산부 및 수유부는 섭취에 주의","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",2.7,2.7,g/일,,Ursolic acid,20191226,20201029
Lactobacillus acidophilus YT1(제2019-22호),"-질환이 있거나 의약품(면역억제제 등) 복용 시 전문가와 상담할 것
-알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
-어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 갱년기 여성 건강에 도움을 줄 수 있음 (영문) May help to menopausal womens health,100000000,100000000,CFU,,프로바이오틱스 수,20191226,20201008
리스펙타(Respecta®)[프로바이오틱스 등 복합물](제2019-26호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 우유, 유제품 및 기타 제품에 대해 알레르기가 있는 사람은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 질내 유익균 증식 및 유해균 억제에 도움을 줄 수 있음 (영문) May help to proliferate vaginal beneficial flora and to suppress pathogenic bacteria,124.35,124.35,mg/일,일일섭취량 :  리스펙타(Respecta®)로서 124.35 mg/일(유산균으로서 5x109 CFU이상),"프로바이오틱스 수, 락토페린",20191226,20220120
그린커피빈주정추출물(제2018-6호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",500,500,mg/일,,클로로겐산(Chlorogenic acid),20191226,20201029
미강주정추출물(제2018-3호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-의약품(항히스타민제 또는 중추신경계억제제)과 병용섭취 시 주의","(국문) 수면에 도움을 줄 수 있음
(영문) May help to sleep",1,1,g/일,,감마-오리자놀(γ-Oryzanol),20191226,20201029
수국잎열수추출물(제2020-7호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문)
-피부보습에 도움을 줄 수 있음
-자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음
(영문)
-May help to maintain skin moisturizing
-May help to maintain skin health from skin damage by UV radiation",300,600,mg/일,수국잎열수추출물(제2020-7호),하이드란제놀(Hydrangenol),20200728,20210630
풋사과추출물 애플페논(Applephenon)(제2021-6호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",600,600,mg,풋사과추출물 애플페논(Applephenon)(제2021-6호),총 폴리페놀,20210827,20210827
모로오렌지추출분말(Morosil®)(제2021-7호),"(1)영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2)특정 질환(알러지 체질 등)이 있는 분은 섭취에 주의 (3)이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (4)식사조절, 운동을 병행하는 것이 체지방 감소에 효과적임",(국문) 체지방 감소에 도움을 줄 수 있음 (영문) May help to reduce body fat,400,400,mg,제2021-7호,Cyanidin-3-O-glucoside,20211018,20211215
감잎주정추출분말(제2022-18호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 건조한 눈을 개선하여 눈건강에 도움을 줄 수 있음
(영문) May help to maintain eyes healthy by relieving dryness",600,600,mg/일,제2022-18호,Astragalin(아스트라갈린),20220711,20220713
크릴오일(FJH-KO)(제2022-41호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것","(국문)․관절건강에 도움을 줄 수 있음
      ․혈소판 응집억제를 통한 혈행개선에 도움을 줄 수 있음
(영문)․May help to maintain healthy joint
      ․May help to improve blood circulation by inhibiting platelet aggregation",1.5,1.5,g/일,제2022-41호,EPA(Eicosapentaenoic acid)와 DHA(Docosahexaenoic acid)의 합,20230410,20260730
가다랑어 엘라스틴 펩타이드(VGPG Elastin®)(제2022-38호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부보습에 도움을 줄 수 있음
          ② 자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음
(영문) ① May help to maintain skin moisturizing
          ② May help to maintain skin health from skin damage by UV radiation",100,100,mg/일,제2022-38호,"Glycine, L-valylglycyl-L-prolyl-(VGPG), 데스모신 및 이소데스모신(Desmosine and Isodesmosine)",20230614,20230614
크릴오일(SuperbaTM Boost)(제2023-13호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2)  특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 
(3)  이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 의약품(항응고제, 항혈소판제 등) 복용 시 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",1,2,g/일,제2023-13호,EPA(Eicosapentaenoic acid)와 DHA(Docosahexaenoic acid)의 합,20230616,20230616
옥수수수염·레몬밤추출복합물(CL-5MoA)(제2023-8호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 의약품(항당뇨제, 수면유도제, 갑상선호르몬제, 중추신경억제제)을 복용하시는 분은 섭취 전 전문의와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",1,1,g/일,제2023-8호,"알란토인(Allantoin), 로즈마린산(Rosmarinic acid)",20230711,20230711
Bifidobacterium breve B-3 프로바이오틱스(제2023-2호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 질환이 있거나 의약품 복용 시 전문가와 상담할 것 
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 체지방 감소에 도움을 줄 수 있음
         ② 노화로 인해 저하된 인지기능 개선에 도움을 줄 수 있음
(영문) ① May help to reduce body fat
        ② May help to improve cognitive function affected by aging",5000000000,5000000000,CFU/일,제2023-2호,프로바이오틱스 수(비피더스균 수),20230717,20260730
저분자 피쉬 콜라겐 펩타이드 (Naticol® BPMG)(제2023-24호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음
          ② 자외선에 의한 피부 손상으로부터 피부 건강을  유지하는데 도움을 줄 수 있음
(영문) ① May help to moisturize (dry) skin
          ② May help to maintain good skin health by protecting against damage from UV exposure",1.5,1.5,g/일,제2023-24호,Gly-Ala-Val-Gly-Pro-Ala,20230804,20230804
다이크로스타키스 글로메라타 추출물(DyglomeraⓇ)(제2023-9호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",400,400,mg/일,제2023-9호,"미리세틴(Myricetin), 루테올린(Luteolin)",20230807,20230807
L. curvatus HY7601와 L. plantarum KY1032의 프로바이오틱스 복합물(제2019-4호),"(1) 질환이 있거나 의약품(면역억제제 등) 복용 시 전문가와 상담할 것
(2) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(3) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",10000000000,10000000000,CFU/일,,프로바이오틱스 수,20230810,20230810
크릴오일등복합물(FlexPro MDⓇ)(제2022-39호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(5) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
(6) β-카로틴의 흡수를 저해할 수 있음","(국문) 관절건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint",462,462,mg/일,2022-39호,"EPA(Eicosapentaenoic acid)와 DHA(Docosahexaenoic acid)의 합, 아스타잔틴(Astaxanthin), 히알루론산나트륨(Sodium hyaluronate)",20230912,20230912
Bacillus coagulans SNZ 1969 프로바이오틱스(제2023-34호),"(1) 영·유아, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 어린이가 함부로 섭취하지 않도록 일일 섭취량 방법을 지도할 것
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 배변활동 원활에 도움을 줄 수 있음
(영문) May help to improve bowel movements",1000000000,1000000000,CFU/일,제2023-34호,프로바이오틱스 수,20231120,20231120
삼백초추출물(LHF618)(제2023-31호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 면역과민반응에 의한 코상태 개선에 도움을 줄 수 있음
(영문) May help to improve nasal condition caused by hypersensitivity reaction",450,450,mg/일,제2023-31호,미퀠리아닌(Miquelianin),20240109,20240109
콘드로이친 황산염(제2020-1호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(3) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(4) 수술 전후 또는 항응고제, 항혈소판제, 비스테로이드계 항염증약 복용자는 섭취 전 전문의와 상담할 것
(5) 천식이 있는 사람은 섭취 전 전문의와 상담할 것","(국문) 관절 및 연골 건강에 도움을 줄 수 있음
(영문) May help maintain healthy joint",1200,1200,mg/일,제2020-1호,Chondroitin sulfate sodium,20240122,20240122
참나리추출분말(제2023-43호),"(1 )영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 관절건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint",1,1,1 g/일,제2023-43호,레갈로사이드 A(Regaloside A),20240325,20240325
당귤농축분말(ROCH)(제2023-44호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문)
  ① 피부 보습에 도움을 줄 수 있음
  ② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
(영문)
  ① May help to moisturize (dry) skin
  ② May help to maintain good skin health by protecting against damage from UV exposure",100,100,mg/일,제2023-44호,헤스페리딘(Hesperidin),20240328,20240328
타마린드강황주정추출복합물(TamaFlexⓇ)(제2024-12호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(5) 수술 전후에는 섭취에 주의할 것
(6) 제안된 섭취량 이상 섭취 시 소화불량, 위장장애, 메스꺼움, 위산역류 등이 있을 수 있음","(국문) 관절 및 연골 건강에 도움을 줄 수 있음
(영문) May help to maintain joint and cartilage health",250,250,mg/일,제2024-12호,"프로토카테츄산(Protocatechuic acid), 커큐민(Curcumin)",20240429,20240429
난각막가수분해물(NEM®)(제2024-9호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(계란에 대한 특이체질, 알레르기 체질 등)이 있는 분은 섭취에 주의할 것 
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 관절 및 연골 건강에 도움을 줄 수 있음
(영문) May help to maintain joint and cartilage health",500,500,mg/일,제2024-9호,Ser-Trp-Val-Glu(SWVE),20240508,20240508
기장밀추출복합물(KeranatTM)(제2024-16호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 모발상태(윤기·탄력) 개선에 도움을 줄 수 있음
(영문) May help to improve hair condition (luster·elasticity)",300,300,mg/일,제2024-16호,"밀리아신(Miliacin), 글루코실세라미드(Glucosylceramide)",20240703,20240703
보스웰리아추출물(제2024-15호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 관절건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint",500,500,mg/일,제2024-15호,3-Acetyl-11-keto-β-boswellic acid(AKBA)와  11-Keto-β-boswellic acid(KBA)의 합,20240711,20240711
팔밋올레산 함유 명태(알래스카폴락)유래 정제어유(제2024-18호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음, ② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
(영문) ① May help to moisturize (dry) skin, ② May help to maintain good skin health by protecting against damage from UV exposure",1,1,g/일,제2024-18호,"(1) 팔밋올레산(Palmitoleic acid), (2) 팔밋올레산(Palmitoleic acid) : 팔미트산(Palmitic acid)",20240722,20240722
